"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Delete","Delete","In Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Content Assist","Alt+/","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"File","Close","Ctrl+F4","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"File","New","Ctrl+N","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Run/Debug","Step Into","F5","Debugging"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"View","Zoom Out","Ctrl+-","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Next","Ctrl+.","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"File","Save","Ctrl+S","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"File","Save All","Ctrl+Shift+S","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"WindowBuilder Pro","Empty command","Ctrl+Shift+A","WindowBuilder Java scope"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Window","Update Project","Alt+F5","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"File","Rename","F2","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Text Editing","Line End","End","Editing Text"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X, G","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Edit","Word Completion","Alt+\","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"File","Refresh","F5","In Windows"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
